Tonbridge and Malling,M 486.5 826.5 L 486.5 841.5 L 501.5 841.5 L 501.5 826.5 z
Orpington,M 469.5 826.5 L 469.5 841.5 L 484.5 841.5 L 484.5 826.5 z
Croydon Central,M 452.5 826.5 L 452.5 841.5 L 467.5 841.5 L 467.5 826.5 z
East Surrey,M 435.5 826.5 L 435.5 841.5 L 450.5 841.5 L 450.5 826.5 z
Croydon South,M 418.5 826.5 L 418.5 841.5 L 433.5 841.5 L 433.5 826.5 z
Reigate,M 401.5 826.5 L 401.5 841.5 L 416.5 841.5 L 416.5 826.5 z
Epsom and Ewell,M 384.5 826.5 L 384.5 841.5 L 399.5 841.5 L 399.5 826.5 z
Mole Valley,M 367.5 826.5 L 367.5 841.5 L 382.5 841.5 L 382.5 826.5 z
Guildford,M 350.5 826.5 L 350.5 841.5 L 365.5 841.5 L 365.5 826.5 z
East Hampshire,M 333.5 826.5 L 333.5 841.5 L 348.5 841.5 L 348.5 826.5 z
Fareham,M 316.5 826.5 L 316.5 841.5 L 331.5 841.5 L 331.5 826.5 z
"Southampton, Test",M 299.5 826.5 L 299.5 841.5 L 314.5 841.5 L 314.5 826.5 z
New Forest West,M 282.5 826.5 L 282.5 841.5 L 297.5 841.5 L 297.5 826.5 z
Mid Dorset and North Poole,M 265.5 826.5 L 265.5 841.5 L 280.5 841.5 L 280.5 826.5 z
North East Somerset,M 248.5 826.5 L 248.5 841.5 L 263.5 841.5 L 263.5 826.5 z
North Somerset,M 231.5 826.5 L 231.5 841.5 L 246.5 841.5 L 246.5 826.5 z
Weston-Super-Mare,M 214.5 826.5 L 214.5 841.5 L 229.5 841.5 L 229.5 826.5 z
Dover,M 554.5 809.5 L 554.5 824.5 L 569.5 824.5 L 569.5 809.5 z
Folkestone and Hythe,M 537.5 809.5 L 537.5 824.5 L 552.5 824.5 L 552.5 809.5 z
Ashford,M 520.5 809.5 L 520.5 824.5 L 535.5 824.5 L 535.5 809.5 z
Maidstone and The Weald,M 503.5 809.5 L 503.5 824.5 L 518.5 824.5 L 518.5 809.5 z
Sevenoaks,M 486.5 809.5 L 486.5 824.5 L 501.5 824.5 L 501.5 809.5 z
Bromley and Chislehurst,M 469.5 809.5 L 469.5 824.5 L 484.5 824.5 L 484.5 809.5 z
